PERIOD_BEGIN,MEDIAN_SALE_PRICE,HOMES_SOLD,NEW_LISTINGS,INVENTORY,MONTHS_OF_SUPPLY,MEDIAN_DOM,PRICE_DROPS
2014-02-01,163088.824170428,789.757208749,915.688409738,2356.045688136,3.191774235,48.230618219,0.2363930131
2014-02-01,158000.0,4957.0,9139.0,26904.0,5.4,67.0,0.19142135
2014-02-01,200849.835451052,4244.445540688,5568.906029664,17965.521886528,4.46761346,46.940865552,0.2495157357
2014-02-01,183083.016583542,7557.274329009,9493.791652497,29538.307333054,4.159372409,47.409178429,0.2391545071
2014-02-01,124000.0,300.0,515.0,1818.0,6.1,79.0,0.1881188119
2014-02-01,155000.0,516.0,850.0,2116.0,4.1,65.0,0.1828922495
2014-02-01,175000.0,2733.0,5058.0,16269.0,6.0,68.0,0.1992132276
2014-02-01,150947.171782676,2161.959845768,2671.628654742,7112.948693242,3.491505805,47.650267689,0.2253246358
2014-02-01,123750.0,1408.0,2716.0,6701.0,4.8,64.0,0.1763915833
2014-03-01,163256.965312978,2069.928448076,2807.968594191,7159.994901226,3.670159608,47.803092749,0.2226104979
2014-03-01,165000.0,1866.0,3509.0,7135.0,3.8,56.0,0.2036440084
2014-03-01,182012.179206065,7093.636582476,9855.811558311,29558.280064907,4.398159309,48.296751348,0.2463196799
2014-03-01,176000.0,6226.0,12024.0,28427.0,4.6,62.0,0.2270024976
2014-03-01,164500.0,658.0,1217.0,2345.0,3.6,47.0,0.2149253731
2014-03-01,189000.0,3370.0,6731.0,17169.0,5.1,68.0,0.239501427
2014-03-01,164626.056764182,744.69160746,1007.990302057,2431.557227894,3.459632523,40.36546454,0.241586047
2014-03-01,197145.255802512,3938.38174627,5647.283035391,18023.563604295,4.744041349,50.928959628,0.2607093368
2014-03-01,145000.0,332.0,567.0,1778.0,5.4,69.0,0.2170978628
2014-04-01,127750.0,352.0,741.0,1887.0,5.4,44.0,0.2257551669
2014-04-01,166865.109587456,702.232815361,990.160213298,2418.611545463,3.63815435,38.227800636,0.2509569385
2014-04-01,170700.0,714.0,1289.0,2466.0,3.5,35.0,0.2445255474
2014-04-01,162197.302106077,2071.147468157,2931.090314715,7245.866550366,3.664454232,43.819128155,0.2347708008
2014-04-01,183806.246135227,7032.069322583,10284.776960107,29826.5440801,4.445755384,46.587026968,0.2539606714
2014-04-01,201000.0,3998.0,8227.0,18506.0,4.6,50.0,0.2738571274
2014-04-01,187500.0,7364.0,14049.0,30367.0,4.1,45.0,0.2602496131
2014-04-01,177000.0,2300.0,3792.0,7508.0,3.3,40.0,0.2412093767
2014-04-01,196996.085615253,3881.50669362,5968.723819042,18304.239419008,4.890476476,49.386659758,0.2665333813
2014-05-01,209484.347642423,4024.617357185,6092.760421619,18636.943315003,4.700269915,49.468144075,0.2777898728
2014-05-01,176306.870460895,2016.48585551,2834.703445762,7207.400678543,3.808034743,45.10553194,0.2420038902
2014-05-01,175000.0,874.0,1313.0,2537.0,2.9,32.0,0.2723689397
2014-05-01,225000.0,4719.0,8437.0,19631.0,4.2,38.0,0.3001884774
2014-05-01,134500.0,378.0,723.0,1978.0,5.2,44.0,0.25429727
2014-05-01,200000.0,2503.0,3535.0,7622.0,3.0,37.0,0.2549199685
2014-05-01,210000.0,8474.0,14008.0,31768.0,3.7,37.0,0.2840594309
2014-05-01,167878.292431437,743.315149019,1007.77891676,2383.756213274,3.369137762,40.46766873,0.2673091028
2014-05-01,193427.99235306,7093.19262407,10420.177276006,30116.511604831,4.343322787,47.621006988,0.2656838779
2014-06-01,205744.926711368,4237.338194799,6160.333603262,19922.008410678,4.736420721,48.948138486,0.275330083
2014-06-01,220000.0,9675.0,13386.0,34619.0,3.6,33.0,0.2897541812
2014-06-01,172441.224392705,800.237351353,970.105039276,2482.841971989,3.341035012,43.31361171,0.2804895274
2014-06-01,165000.0,387.0,726.0,2152.0,5.6,30.0,0.2411710037
2014-06-01,235000.0,5538.0,8017.0,21578.0,3.9,33.0,0.3060061173
2014-06-01,173956.555696755,2080.250760914,2923.749880155,7644.952732581,3.797533361,42.453329734,0.2357900736
2014-06-01,184000.0,1021.0,1176.0,2706.0,2.7,33.0,0.3048780488
2014-06-01,194081.081263859,7467.126709241,10585.861152515,32127.099905602,4.411316193,47.025681753,0.2630230241
2014-06-01,200000.0,2729.0,3467.0,8183.0,3.0,34.0,0.2552853477
2014-07-01,198000.0,2731.0,3171.0,8560.0,3.1,35.0,0.2683411215
2014-07-01,180000.0,950.0,1211.0,2906.0,3.1,29.0,0.2825189264
2014-07-01,211848.698607976,4375.519470225,6195.010949082,21082.296797213,4.848224725,48.023272278,0.2776459161
2014-07-01,202500.0,401.0,759.0,2331.0,5.8,38.0,0.268983269
2014-07-01,170929.940671564,761.907077865,1011.203315736,2616.866632616,3.514064768,37.094456723,0.2504515407
2014-07-01,220000.0,9613.0,12452.0,36897.0,3.8,34.0,0.304008456
2014-07-01,235000.0,5531.0,7311.0,23100.0,4.2,33.0,0.3236363636
2014-07-01,177386.395446894,2158.955731683,2813.335180503,7925.996737948,3.764860482,43.75931287,0.2324315719
2014-07-01,198871.044831087,7685.618894958,10683.290530646,33747.51612311,4.370667431,47.035428935,0.2625887488
2014-08-01,218431.412814512,4397.775215137,6200.822256953,21425.442824367,4.882324847,52.129342377,0.2769439596
2014-08-01,234000.0,5260.0,6371.0,23113.0,4.4,41.0,0.3150607883
2014-08-01,171521.412847696,785.11589649,1025.76557382,2704.403113686,3.420252427,41.37244641,0.2461482655
2014-08-01,216500.0,9009.0,10864.0,36748.0,4.1,40.0,0.2937574834
2014-08-01,201658.934020342,7643.194937775,10662.362800114,34198.077724598,4.531632124,49.354476687,0.2602259986
2014-08-01,184611.909352189,2068.431767804,2815.606774231,7922.414954438,3.946848576,47.279041325,0.2236382022
2014-08-01,199000.0,2391.0,2820.0,8409.0,3.5,41.0,0.241289095
2014-08-01,190000.0,419.0,623.0,2303.0,5.5,37.0,0.2800694746
2014-08-01,176000.0,939.0,1050.0,2923.0,3.1,36.0,0.2884023264
2014-09-01,173750.138510655,2174.028538235,2851.021644687,7924.180346605,3.814134192,50.662945981,0.2364058817
2014-09-01,195000.0,419.0,621.0,2274.0,5.4,42.0,0.2576956904
